id,genres,cast,director,writers,production_companies,producers,original_language,runtime,rating,predicted_rating
436270,"Action,Fantasy,Science Fiction","Sarah Shahi,Dwayne Johnson,Henry Cavill,Pierce Brosnan,Aldis Hodge,Quintessa Swindell,Djimon Hounsou,Dean Norris,Noah Centineo,Jennifer Holland",Jaume Collet-Serra,Adam Siteckel,DC,,EN,125,,5.887357
882598,"Horror,Mystery,Thriller","Kyle Gallner,Sosie Bacon,Caitlin Stasey,Kal Penn,Jessie T. Usher,Rob Morgan,Judy Reyes,Robin Weigert,Gillian Zinser,Marti Matulis",Parker Finn,,,,EN,116,,5.287803
505642,"Action,Adventure,Science Fiction","Letitia Wright,Angela Bassett,Tenoch Huerta,Michael B. Jordan,Mabel Cadena,Martin Freeman,Lake Bell,Dominique Thorne,Richard Schiff,Lupita Nyong'o",Ryan Coogler,Ryan Coogler,Marvel,,EN,161,,6.1495748
966220,"Drama,Action,War","Maryna Koshkina,Roman Semysal,Andrei Mostrenko,Roman Yasinovskyi,Pavlo Aldoshyn,Oleh Shulha",Marian Bushan,Marian Bushan,UM Group,,Ukrainian,120,,6.15954
663712,"Horror,Thriller","Lauren LaVera,David Howard Thornton,Katie Maguire,Samantha Scaffidi,Catherine Corcoran,Griffin Santopietro,Chris Irvine,Elliott Fullam,Felissa Rose,Casey Hartnett",Damien Leone,Damien Leone,Dark Age Cinema,,EN,138,,5.3141646
829280,"Mystery,Adventure,Crime","Millie Bobby Brown,Louis Partridge,Henry Cavill,Helena Bonham Carter,David Thewlis,Abbie Hern,Tim McMullan,Hannah Dodd,Adeel Akhtar,Himesh Patel",Harry Bradbeer,Arthur Conan Doyle,Legendary Entertainment,,EN,129,,6.1693335
676701,"Adventure,Animation,Comedy","Michelle Jenner,Cecilia Suárez,Alexandra Jiménez,José Corbacho,Ben Cura,Luis Posada,_scar Barberán,Manuel Burque,Berta Cortés,Roser Aldabó",Enrique Gato,Josep Gatell,"Telecinco Cinema,Lightbox Animation,Studios",, Spanish,89,,5.503064
675054,"Horror,Action,Comedy","Bárbara de Regil,Sara Maldonado,Alejandro Puente,I_aki Godoy,Pascacio López,Mayra Batalla,Daniel Tovar,Anna Ciocchetti,Roberta Damián,Ricardo Polanco",Chava Cartas,Luis Gamboa,Draco Films,,Spanish,93,,5.6210356
979924,Thriller,"Mel Gibson,Kevin Dillon,Enrique Arce,William Moseley,Alia Seror-O'Neill,Nadia Farès,John Robinson,Carole Weyers,Yann Bean,Yoli Fuller",Romuald Boulanger,Romuald Boulanger,Saban Films,,EN,104,,5.596597
235672,"Sci-fi,Adventure,Action","Scarlett Johansson,Jonathan Bailey,Mahershala Ali,Rupert Friend,Manuel Garcia Rulfo,Luna Blaise,David Iacono,Audrina Miranda",Gareth Edwards,David Cope,"Universal Pictures,Amblin Entertainment",,EN,134,,6.1533685
672392,"Action,Adventure,Adventure,Thriller","Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg,Esai Morales,Pom Klementieff,Henry Czerny,Holt McCallany,Janet McTeer",Christopher McQuarrie,Christopher McQuarrie,"Paramount Pictures,Skydance,TC Productions",,EN,170,,6.168409
721193,"Action,Drama,","Brad Pitt,Damson Idris,Javier Bardem,Kerry Condon,Tobias Menzies,Kim Bodnia,Sarah Niles,Will Merrick,Joseph Balderrama",Joseph Kosinski,Joseph Kosinski,"Apple Studios,Jerry Bruckheimer Films,Plan B Entertainment,Monolith Pictures",,EN,156,,6.3542995
812924,"Animation,Fantasy,Adventure,Action","Lu Yanting,Jonsson,Hanmo,Chen Hao,Green Qi,Zhang Jiaming,Yang Wei,Wang Deshun,Yuchen",Dumpling,Dumpling,"Chengdu Coco Cartoon,Beijing Enlight Media,Chengdu Zizai Jingjie Culture Media,Beijing Coloroom Technology",,Mandarin,144,,7.0993323
192801,"Family,Comedy,Adventure,Animation,Animation,Science Fiction","Jonas Kibreab,Zoe Saldana,Remy Edgerly,Brandon Moon,Brad Garrett,Jameela Jamil,Young Dylan",Adrian Molina,Madeleine Sarafin,Pixar Animation Studios,,EN,98,,6.4037323
723921,"Comedy,Suspense,Action","Wang Baoqiang,Liu Haoran,Chow Yun-fat,Bai Ke,Zhang Xincheng,Yue Yunpeng,John Cusack,Tai Bo",Chen Sicheng,Chen Sicheng,"Wanda Film,Beijing Yitong Legend Film Culture Co., Ltd.",,"Mandarin,EN",136,,5.92975
402101,"Family,Sci-fi,Comedy,Adventure","Maya Kealoha,Sidney Agton,Chris Sanders,Zach Galifianakis,Billy Magnussen,Courtney Bernard Vance",Dean Fleischer Kemp,Dean Fleischer Kemp,Walt Disney Feature Animation,,EN,104,,6.104939
837808,"Fantasy,Family,Action,","Mason Thames,Nicole Parker,Gerard Butler,Nick Frost,Gabriel Hall,Julian Dennison,Bronwyn James,Harry Trevaldwyn",Dean DeBlois,Dean DeBlois,"DreamWorks Animation,Marc Platt Productions",,EN,126,,6.1259117
180219,"Drama,Crime","Zhang Ziyi,Wang Chuanjun,Yi Yang Qianxi,Mei Ting,Zhao Liying,Lei Jiayin",Peter Chan,Jiang Feng,"Tianjin Maoyan Media,Huanxi MediaChina Film Group,We Pictures",,"Mandarin,Shanghainese",96,,5.785353
290003,"Action,Adventure,Drama","Jackie Chan,Wang Ban,Ralph Macchio,Joshua Jackson,Sadie Stanley,Ming-Na Wen,Aramis Knight",Jonathan Entwistle,Rob Lieber,"Columbia Pictures,Sunswept Entertainment",,"EN,Mandarin",94,,5.67432
