feature,importance
main_genre_Documentary,0.08541425
main_genre_Music,0.056909095
main_genre_Horror,0.051160026
main_genre_Animation,0.02340657
has_director,0.016866198
original_language_ne,0.015217851
original_language_ml,0.013739833
original_language_ur,0.013707641
original_language_ja,0.013349844
original_language_nl,0.013020409
main_genre_TV Movie,0.012971499
original_language_az,0.012412055
original_language_ro,0.012270314
original_language_ar,0.012241576
runtime_category_短片,0.012105248
original_language_af,0.011579554
original_language_bg,0.011545749
original_language_sq,0.011539256
runtime_category_超长,0.0112307025
original_language_bn,0.010379463
original_language_is,0.010342679
original_language_ta,0.010309046
main_genre_Unknown,0.010258578
original_language_tl,0.01021418
original_language_ru,0.010199808
original_language_el,0.010009741
main_genre_Thriller,0.009921652
original_language_he,0.009647195
original_language_no,0.009581294
original_language_lv,0.009226385
original_language_mr,0.009219177
original_language_en,0.009209162
original_language_hi,0.009147849
original_language_es,0.008851123
original_language_th,0.008831412
is_english,0.008717253
original_language_fi,0.0086502535
original_language_pa,0.008485423
original_language_ko,0.008385425
main_genre_Romance,0.008366459
main_genre_Family,0.008335829
original_language_ku,0.008190568
original_language_zh,0.008037337
original_language_fa,0.008009904
main_genre_Fantasy,0.007938069
is_drama,0.007829119
original_language_ks,0.0077274586
main_genre_Comedy,0.0077068685
is_action,0.0076306653
original_language_ht,0.0075923796
original_language_hu,0.007573793
original_language_pl,0.007546097
runtime,0.007487703
original_language_pt,0.007455822
original_language_sw,0.007427997
original_language_ms,0.0073664873
main_genre_Science Fiction,0.00727368
original_language_si,0.007201728
original_language_id,0.007181226
main_genre_Western,0.0071068034
original_language_et,0.0069929464
main_genre_Mystery,0.0067911753
original_language_cn,0.0067284415
original_language_sv,0.0066950237
original_language_fr,0.0065037296
main_genre_War,0.0064455667
main_genre_Adventure,0.006384624
original_language_kn,0.0063321507
original_language_sl,0.0063107694
original_language_yo,0.0062623424
original_language_cs,0.0062562707
main_genre_Drama,0.0062105567
original_language_tr,0.006208112
cast_count,0.0062018903
original_language_sk,0.0061675175
main_genre_Action,0.006117526
runtime_category_标准,0.0060389224
original_language_da,0.0059211943
main_genre_Crime,0.0059099267
original_language_lb,0.005842632
is_comedy,0.0057560247
original_language_vi,0.0056622094
runtime_category_长片,0.0056006024
original_language_xh,0.0055856956
original_language_de,0.005571354
production_count,0.0054904423
genre_count,0.0053184787
original_language_it,0.005305565
original_language_te,0.0052860607
writers_count,0.0051191784
original_language_hy,0.004912794
original_language_ka,0.004831763
original_language_sr,0.004770672
main_genre_History,0.004601209
original_language_as,0.004434655
original_language_uk,0.00423487
original_language_rm,0.0042062723
original_language_km,0.0041579055
original_language_gl,0.004088605
original_language_xx,0.0033745265
original_language_lt,0.0030737766
original_language_nb,0.0026070399
original_language_am,0.0021260052
original_language_sh,0.0016780912
original_language_kk,0.0015024758
original_language_mk,0.0014994121
original_language_gu,0.0010887772
original_language_sn,0.0005334585
original_language_bo,0.0
original_language_bm,0.0
original_language_dz,0.0
original_language_ga,0.0
original_language_ca,0.0
original_language_bs,0.0
original_language_hr,0.0
original_language_st,0.0
original_language_sm,0.0
original_language_tg,0.0
original_language_tn,0.0
