id,genres,original_language,version,runtime,basic_price,rating
436270,"Action,Fantasy,Science Fiction",English,2D,125,41,5.887357
882598,"Horror,Mystery,Thriller",English,2D,116,43,5.287803
505642,"Action,Adventure,Science Fiction",English,2D,161,45,6.1495748
966220,"Drama,Action,War",Ukrainian,2D,120,46,6.15954
663712,"Horror,Thriller",English,2D,138,44,5.3141646
829280,"Mystery,Adventure,Crime",English,2D,129,42,6.1693335
676701,"Adventure,Animation,Comedy",Spanish,2D,89,48,5.503064
675054,"Horror,Action,Comedy",Spanish,2D,93,43,5.6210356
979924,Thriller,English,2D,104,42,5.596597
235672,"Adventure,Action,Science Fiction",English,2D,134,41,6.1533685
672392,"Action,Adventure,Adventure,Thriller",English,2D,170,42,6.168409
721193,"Action,Drama",English,"2D,3D,IMAX",156,48,6.3542995
812924,"Animation,Fantasy,Adventure,Action",Mandarin,"2D,3D,IMAX",144,45,7.0993323
192801,"Family,Comedy,Adventure,Animation,Science Fiction",English,2D,98,43,6.4037323
723921,"Comedy,Suspense,Action","Mandarin,English",2D,136,46,5.92975
402101,"Family,Comedy,Adventure,Science Fiction",English,2D,104,40,6.104939
837808,"Fantasy,Family,Action",English,2D,126,46,6.1259117
180219,"Drama,Crime","Mandarin,Shanghainese",2D,96,40,5.785353
290003,"Action,Adventure,Drama","English,Mandarin",2D,94,47,5.67432
